"","d3_e","d1_e","d2_e","scale_e"
"1",Inf,1,1,1
"2",1.00181635283513,0.958146952064247,1,0.958146952064247
"3",1.00645596366184,0.867536173238698,1,0.867536173238698
"4",0.995784548677797,0.805192356406774,0.995784548677797,0.80860097445367
"5",1.00171327627226,0.829848120173255,1,0.829848120173255
"6",1.01473691694471,0.75453574708253,1,0.75453574708253
"7",1.00174190730701,0.668429618927763,1,0.668429618927763
"8",1.00381766317599,0.68511756836277,1,0.68511756836277
"9",1.00230671404987,0.672291327273619,1,0.672291327273619
"10",1.0139389106888,0.58404610189566,1,0.58404610189566
"11",0.999214540539258,0.56163357481729,0.999214540539267,0.562075061992374
"12",1.00526992520194,0.56363125867863,1,0.56363125867863
"13",1.00718914689839,0.562934397296926,1,0.562934397296926
"14",0.993506528787074,0.594420234484536,0.993506528787072,0.598305312809808
"15",1.0806103345428,0.644831907893162,1,0.644831907893162
